"date (UTC)",description,moneyIn,moneyOut,"tx hash","current balance"
20170525,"PAYMENT RECEIVED",1554740453,0,4d175b5484547c32164e5d45d367c8c67aee7b86d10d3bc355a7cdda7a0c3445,97295362877
20170525,"PAYMENT RECEIVED",1770017142,0,f1983926c3c68d67a9f1c9a129a10869dd971b7570c4c4c187e1b9b0789579fa,95740622424
20170525,"PAYMENT RECEIVED",1553974752,0,aaf8b4b72858b8006553c781353ad0e6585908275948e6140913de83eba3269c,93970605282
20170525,"PAYMENT RECEIVED",1550272217,0,5dd9ecf3747dc37379bb109ae2c4d6c85bfc4e73cf3c6e270df12d7a701b3b48,92416630530
20170525,"PAYMENT RECEIVED",1492564130,0,68343df47ad6f19d797d9e91d02431e4f4f3e98b90c8eabe5d1a9f09f82017f7,90866358313
20170525,"PAYMENT RECEIVED",1520416121,0,20177719262242b8b5a501383c34b0611c4841cf68b1bdf86a446bdde3eecb24,89373794183
20170525,"PAYMENT RECEIVED",1572873393,0,2f7bd72611d5bc2cf25340136cffcea11019f02d1aef25f656a508bca95ee4bf,87853378062
20170525,"PAYMENT RECEIVED",1513917361,0,b5ea1bc689988a893574758087147794d51ca058c803d385d51e8c109f303862,86280504669
20170524,"PAYMENT RECEIVED",1610685584,0,02ba02076ff230cb45d163225e6ba3fdee40700a260d9dc7785778c830612e9b,84766587308
20170524,"PAYMENT RECEIVED",1465359256,0,a5afad450651285296c3359fd25f649320b303c7526f808c0ab2bceb152c78e2,83155901724
20170524,"PAYMENT RECEIVED",1537683529,0,602e2613c354d6b31a26910895d6ad10758579df50721cdb08c5b1ef7da9e406,81690542468
20170524,"PAYMENT RECEIVED",1428519721,0,e494a32c6a57a7800e38d931ec66d6129d6c04ae1dd57085ac6354da73c52cf2,80152858939
20170524,"PAYMENT RECEIVED",1456064392,0,b138a888ee498fd3c0b4d310d300f68f98b4b0485540ed549da69f65d955f7c0,78724339218
20170524,"PAYMENT RECEIVED",1426387280,0,208c095c97abd3b888202b392310ebeb0953fd6ccd8e5b247da907aa5e049ef4,77268274826
20170523,"PAYMENT RECEIVED",1429574063,0,7a1fc94586905100bb7599ecdbf64b1aa368291943314f6c14cfae7e648b472d,75841887546
20170523,"PAYMENT RECEIVED",1449840167,0,5f3822b8514533765258877ce1c733695bd13d0b4a0847b58045d73f3728f429,74412313483
20170523,"PAYMENT RECEIVED",1459261298,0,03793bdecd5db93f7efa780b72d698c21865c174ed936cbb8bf9a94d8da82f2a,72962473316
20170523,"PAYMENT RECEIVED",1448293311,0,f3febcd05bb231258c372a0a11ab3525302eaea01c731c0b76cbd326a86409c4,71503212018
20170523,"PAYMENT RECEIVED",1447149755,0,d2d4e84915e10c2da69119984a236dc9533d42c3ea33569161bf9ae35a0ecb6a,70054918707
20170523,"PAYMENT RECEIVED",1549775864,0,4c1c943a1e2dc42bafc6675c8ca092c73e8408be403bb634deeb58293ea9fef7,68607768952
20170523,"PAYMENT RECEIVED",1488375141,0,d8d607501b035c0051e020d77810c796b823f053ce6e0df6bf62ce1351e3dc06,67057993088
20170523,"PAYMENT RECEIVED",1586828632,0,34e9f949221bf608e2d8297326af97fb9a7c24611c7460c05ad61993224bf949,65569617947
20170523,"PAYMENT RECEIVED",1488339668,0,c253c275ffdc044bb2431fcc13059b2f46f6031133e6bbc0ffc5403d552cd0c5,63982789315
20170523,"PAYMENT RECEIVED",1505648547,0,411c38db0ca33a2087bba28fc5594e9fd45ebe6757de2b300348c390b4cac670,62494449647
20170523,"PAYMENT RECEIVED",1521913300,0,9e727566aed20833ffbb28336b63636ab938ea2f280bb843365146aeb6ea320b,60988801100
20170522,"PAYMENT RECEIVED",1552731464,0,fe316bf1178c58a08cbfd618da002432651c7b73521700f084770a6c56f13bdd,59466887800
20170522,"PAYMENT RECEIVED",1546358154,0,25e632d63821aaa821cd96cdc131dd3ec8067499a31a92f95e8b851950c054b6,57914156336
20170522,"PAYMENT RECEIVED",1624557834,0,334fb2780e61145ef7cd02234614bd558f85bdaf4398f024b9e5590d86ffe5ea,56367798182
20170522,"PAYMENT RECEIVED",1494693125,0,6dc5436b2b726c96d28b20ed708adee6998683f51aff2a0a278a194c34c7686f,54743240348
20170522,"PAYMENT SENT",0,-150000755200,ff4f41f3252e5aea6c5b98b43018ad45d0c8d643bbfc6cecf2f1af9792921c48,53248547223
20170522,"PAYMENT RECEIVED",1541306262,0,95c653b2debcac7081fbf5752472c35c81bcc52bd9ed52cc04e7556e9d92b14e,203249302423
20170522,"PAYMENT RECEIVED",1549159866,0,2b503c02422e7b83bfadd0f82e0f447bed7bfa7df158ad99e7a53f054c8c7ddd,201707996161
20170522,"PAYMENT RECEIVED",1538486177,0,bb232ac3fdbf7ca769d77a39dd2771863d5ef9ba2f52214f61996b5cc61a56d5,200158836295
20170522,"PAYMENT RECEIVED",1492958351,0,ebca5ec51e25fd945d9ddfdc6bb1d4d3973a201b0d232efc68303f002c72762c,198620350118
20170522,"PAYMENT RECEIVED",1495340852,0,b7a4318fb1cf498acf41db45e8a2f9221a6182aecf9fce30d8201650f53d2406,197127391767
20170521,"PAYMENT RECEIVED",1550709139,0,639b97934e4a5900fa53fb92bd409f12b974df66c0751e5e61ac541ea475894c,195632050915
20170521,"PAYMENT RECEIVED",1518299148,0,e4f24ca1812523f52fbc8870b84f669a04b1e44291b9e09df99c5537e42aa724,194081341776
20170521,"PAYMENT RECEIVED",1544940808,0,07c6d2dc8898e6ed0fcaa93015674ab9eb13ccbb5b463de7a0e14555cda54546,192563042628
20170521,"PAYMENT RECEIVED",1456563965,0,64b50fd34466774e3ff3d6bb09ba52027a16dcb17d37006abb06d0a4c5de79a0,191018101820
20170521,"PAYMENT RECEIVED",1472732362,0,7c71855dc5f55b0afbf26d91a9b45dfb9d1480ad9505a78058d5161c2a49644d,189561537855
20170521,"PAYMENT RECEIVED",1537071202,0,74de6bbbb2e94ff89e28d77d0b157e5cff42df5c1153d9d007227786f0e46513,188088805493
20170521,"PAYMENT RECEIVED",1388158515,0,f536bf3ef295462955f90e6b7091bc6b75a0f85ed92ae53370c9ea66091b27f4,186551734291
20170521,"PAYMENT RECEIVED",1416457541,0,f0e4356d1f7fd9ed4edf1c0c3fbe95696db7ff3abf08fb0bcab3e731f880071b,185163575776
20170521,"PAYMENT RECEIVED",1408260167,0,e4f7b710d42174ee0499e2c210f44e58bf644f158b629b26ab7df3ab5fe30e4d,183747118235
20170521,"PAYMENT RECEIVED",1446117053,0,b4c844fe93880fbf9e307b4bd6fb2a6517906e69e47cb041ac7b93f859ced02b,182338858068
20170520,"PAYMENT RECEIVED",1473733862,0,08c9493448ae870918a6194fd64e11b818c68ed0bb793db0a33dbce0c5ac45d5,180892741015
20170520,"PAYMENT RECEIVED",1524135205,0,52d222e3d1fab628c1294e7f94a0218f034cec000d073c23d9d5908a961dbc86,179419007153
20170520,"PAYMENT RECEIVED",1521408982,0,88fd4f2c05b1e88f45ff329b6e32fc2eeb9b470b494e8ad501514f03f42f70f0,177894871948
20170520,"PAYMENT RECEIVED",1465956845,0,120fb97dea3eaddcdb4b9e93de48d5634af94097f7961c9f419cde82b6a78505,176373462966
20170520,"PAYMENT RECEIVED",1443341688,0,87454e993cf4634e7e4c3e6320c5e3d9f7c821c0f0e4d880140521bf8e150e35,174907506121
20170520,"PAYMENT RECEIVED",1439123773,0,7ce13b7a381b1c8048e196ca480fdd252fde762ab5b5a5229a9a4778d5482688,173464164433
20170520,"PAYMENT RECEIVED",1404317959,0,f10aaeba0d9f1d439f4066f01ea6f8c8a3549852295b888b9e0d8ae52c697474,172025040660
20170520,"PAYMENT RECEIVED",1445770801,0,a40e787f48cabe1189db38c3fe30dfa069672beb4c5433d431f18b0796f4e224,170620722701
20170520,"PAYMENT RECEIVED",1485911093,0,54bd5ee27e085391edb6cf3d29d586387bbada221f793759965a570b8eb7e997,169174951900
20170520,"PAYMENT RECEIVED",1412473053,0,b294357b5de81c018eed906b747caf72a2ff36adcdb3b1dc2122b80abb36fb17,167689040807
20170520,"PAYMENT RECEIVED",1559456840,0,bdc40666a377d08bc0071f7fc5414fbeb75bc88b2d88424cdf7276d7d6a167ce,166276567754
20170520,"PAYMENT RECEIVED",1366191894,0,6b6972bcdaf7e745b7fde8404b232bd1441a35455dc1218f99511ce12513d93d,164717110914
20170520,"PAYMENT RECEIVED",1390358016,0,133ba9ccb6fe7757f36e515440b3ffc51865e334b9f3dc20aadfab62ce2896de,163350919020
20170520,"PAYMENT RECEIVED",1374575727,0,5c7e66b9af7edb446c9ec08f88e7fb7c8d0f59a0885d430d3ae60362c32677d5,161960561004
20170520,"PAYMENT RECEIVED",1447141111,0,aaa4430fa0e3b94656f5a782d7bcd6d8ea86e6b9dd0eab06d423a1aa7472b3eb,160585985277
20170520,"PAYMENT RECEIVED",1474880616,0,dcfa1119940d6bd6f7ef6b62cbaf0300127de3c81fbff20c9d03235b5320a48f,159138844166
20170519,"PAYMENT RECEIVED",1408222240,0,1dbe2a89a24c312c5ab852712dfba0153ff4f8ac52c9654863ad905c214c7d05,157663963550
20170519,"PAYMENT RECEIVED",1448924265,0,a04e11a4e213b8cc583a5df1d5d4866fadc7e5c66e720c1b58d2d71e33d215b1,156255741310
20170519,"PAYMENT RECEIVED",1559909389,0,f49a9ac0e3d33b533b7e3334ce8a9277dfa0601fba751ca9cf4de6e67b9a105d,154806817045
20170519,"PAYMENT RECEIVED",1550071948,0,1ea2852b3f1f25fa732e9b064fff9cf1d61e08bd12c59d8cde373f459b22fbc4,153246907656
20170519,"PAYMENT RECEIVED",1504166575,0,1af20e63113e7109c86dfcc01bcd92b737e58a3ea06674948e6e05d94315170b,151696835708
20170519,"PAYMENT RECEIVED",1660492469,0,e447b6932f2f4e0fed14c5870ba8a49168dfe9f8303fad1258c6086ae9271747,150192669133
20170519,"PAYMENT RECEIVED",1506673357,0,bb00ece49ee1d4e396c029c3c49e2bcd9b6f52d53141eaea42e5af432eabbc20,148532176664
20170519,"PAYMENT RECEIVED",1552026624,0,7a58b9176861e53aba0d928d8d4c2a37afc4449e108eaaa5525d9875efb0c976,147025503307
20170519,"PAYMENT RECEIVED",1469415087,0,613ed28bddfdaafa6b15f4e316e0cc9e9ab1d519600fe0ce1787d8a234abe007,145473476683
20170519,"PAYMENT RECEIVED",1488695853,0,105b2305c7628bd8977946d5935a52cd3286260ec7a7bb021e0309f9baeb55e2,144004061596
20170519,"PAYMENT RECEIVED",1560225671,0,8f9351d24cbbcf2706c216d88596f41114ac54ff63528a2d5a24dffc0ee7b4e3,142515365743
20170519,"PAYMENT RECEIVED",1705296334,0,404663cb4b23a988d2fbea3b07f32c8bb8e6ec1534fcd66160ad6e24315188f3,140955140072
20170519,"PAYMENT RECEIVED",1534844147,0,29ace3bca30e0d9959f51bbe5627927d778a786993b02cf7191d7ba74097b2d5,139249843738
20170519,"PAYMENT RECEIVED",1478281763,0,979ef6d90db2cf777a082e1ed66bee702c816c4b287b2d2ed17b52635cd0e918,137714999591
20170519,"PAYMENT RECEIVED",1573628527,0,d839693cdf21a9acbe6d69cb7baea862a527ff9b21fe2f3664953bc6c235c33b,136236717828
20170519,"PAYMENT RECEIVED",1621993269,0,c482e4b90b02180d89e70adeee7a48d454363fc79090cc49a9a8eac0dc47b99b,134663089301
20170519,"PAYMENT RECEIVED",1503796802,0,e4161f336d5fc566957b850267ac99abee8191aae2fdfe6f3fd1a7d09365f0d5,133041096032
20170519,"PAYMENT RECEIVED",1515499116,0,396d72e6a5b93d946b8c1abc40d9e8c4fcc13d066b5a9f13a945c0606dc5ad9a,131537299230
20170519,"PAYMENT RECEIVED",1407672916,0,a3175589a4121d41e8855b94ae3255fe82236087294daf5e5bf613420406b1bc,130021800114
20170519,"PAYMENT RECEIVED",1566314044,0,11d8b4c1aefca12a7949d72d9a380b1e402ff4e03a1e700aec289634f828b07b,128614127198
20170519,"PAYMENT RECEIVED",1514275650,0,3d659a3e630efca6c4fcf1fcf42c5a2482c9057beefd8f4d15a97d106de53800,127047813154
20170519,"PAYMENT RECEIVED",1508179606,0,98f45b25d19b59461d36bd93d215b89c7ad6812c5f7c812afd0ed42bf150a4cc,125533537504
20170518,"PAYMENT RECEIVED",1626416116,0,ee417ddd425387824289c62d198da04b98bff1bf6466e0d3df112ebd621af89a,124025357898
20170518,"PAYMENT RECEIVED",1548921136,0,0b032b42c3ab0c44f0d0bd91fc3b2942f3f995f93572c687af02c1b469f3ca48,122398941782
20170518,"PAYMENT RECEIVED",1552660088,0,22e7a5e107597247b7ea422fffbf22f8d78b4a8ef5c3f7e559aad90d7eb15ea6,120850020646
20170518,"PAYMENT RECEIVED",1504176950,0,c15db902f67dd72ddb2b6164e2c7f3f30a61381d455eeefbe1f622e72ced0ae8,119297360558
20170518,"PAYMENT RECEIVED",1641533100,0,b7f8d3f9eac511772ea655e05b356829fef04178f30ed6e319983668670bd078,117793183608
20170518,"PAYMENT RECEIVED",1659718680,0,a12019291449b185b6081d7ddadc35381aebaa4820d41dbfa34b2374774ade16,116151650508
20170518,"PAYMENT RECEIVED",1467079331,0,5f53cf54c950804d6f5c555073f8022ef8490bcb85191a5b031603baacfc29fc,114491931828
20170518,"PAYMENT RECEIVED",1575525265,0,a4ed27f1fbf226abd3a3ab608f3bf73752f2e7860b55953f5150ef9d6b281f91,113024852497
20170518,"PAYMENT RECEIVED",1472901494,0,ae9f9c32d30e2bc365bc3b9e0929461ca1e928e8a4fbe97058e79595bc345b0f,111449327232
20170518,"PAYMENT RECEIVED",1478644775,0,33cfb6663f155e75fc09fc4b6fa46aba11a2b9a47f28a8c289c7ac29f6a1672c,109976425738
20170518,"PAYMENT RECEIVED",1400849512,0,d7e51d27b19e623b15677a5ff50e1fbe784adb999d73ef9cdc8b81637bea0d0a,108497780963
